t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,C,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,sign_level,betastar,criticalvalue,Jump_indicator,hour,n_obs_sample,weekday,AJL_Jump_indicator
2019-04-18T01:25:57Z,2019-04-18,,ethusd,3204,5.13679507336413,170.169512630548,168.424390472435,6,5.44756146600715,32.6853687960429,0.0555555555555556,0.00124288503557184,8.20850441427064e-06,5.51943734295757e-06,3.08952656193789e-06,3.45860971800178,0.258614628495226,0.0103081455090521,10.2408075841526,5.66251415628539e-07,14.38422737699,7.1785813372929,1,1,1766,Thursday,1
2019-04-18T04:03:41Z,2019-04-18,,etcusd,5532,1.85607921643636,6.3986,6.32383,28,1.71773609263781,48.0966105938587,0.0555555555555556,0.000924325013853615,1.54773849867438e-07,4.65351387100498e-06,1.70875346252026e-06,3.13521881947978,0.281254880299488,0.0117541791708795,7.14134510083836,1.7921146953405e-06,13.2321133453229,6.85681527452782,1,4,558,Thursday,1
2019-04-18T16:58:27Z,2019-04-18,,ltcusd,33169,4.40516474598662,81.8726299193591,81.0424903452163,5,5.31971641312292,26.5985820656146,0.0555555555555556,0.00101496547223809,2.57304706463621e-06,5.38409127865166e-06,2.06030983329356e-06,3.45213518027384,0.259032202955803,0.0101911566908912,10.1300482189942,5.79710144927536e-07,14.3607373186608,7.17202860399617,1,16,1725,Thursday,1
2019-04-21T08:23:35Z,2019-04-21,,etcusd,8117,1.76078465015211,5.81699991404504,5.92893165249862,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.0190593868457887,-10.8427336365263,1.0351966873706e-06,13.7809185955955,7.01018595968224,-1,8,966,Sunday,1
2019-04-21T09:39:19Z,2019-04-21,,ltcusd,16511,4.3450989492138,77.099666053215,78.179993858227,5,5.8546856234985,29.2734281174925,0.0625,0.00176894224139104,5.1639031744126e-06,1.76513305402488e-05,6.25831337619754e-06,3.41430472061191,0.26149915597532,-0.0139148325916221,-8.01384709628201,6.66666666666667e-07,14.2209753327658,7.133077767276,-1,9,1500,Sunday,1
2019-04-21T09:40:30Z,2019-04-21,,ltcusd,16540,4.31498970009737,74.8128528748746,77.099666053215,5,5.8546856234985,29.2734281174925,0.0625,0.00176894224139104,5.1639031744126e-06,1.76513305402488e-05,6.25831337619754e-06,3.41430472061191,0.26149915597532,-0.030109249116423,-17.3405549088787,6.66666666666667e-07,14.2209753327658,7.133077767276,-1,9,1500,Sunday,1
2019-04-21T17:55:37Z,2019-04-21,,etcusd,20197,1.76233041091089,5.82599855732904,5.75299921779936,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.0126090889936976,7.17321047440346,1.0351966873706e-06,13.7809185955955,7.01018595968224,1,17,966,Sunday,1
2019-04-22T10:01:54Z,2019-04-22,,etcusd,10002,1.78371000781889,5.95189709252437,5.89424986745557,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00973273087370252,8.90974770276382,1.0752688172043e-06,13.7429393274916,6.99956886456576,1,10,930,Monday,1
2019-04-22T18:33:24Z,2019-04-22,,etcusd,18715,1.78009061004095,5.93039374746736,5.88209999914996,9,2.86421083436672,25.7778975093005,0.0555555555555556,0.000781955575600431,3.32366356436901e-07,3.41777603114999e-06,1.2229090446525e-06,3.28200949852071,0.270506860101492,0.00817676917810917,7.4853554820399,1.0752688172043e-06,13.7429393274916,6.99956886456576,1,18,930,Monday,1
2019-04-24T01:17:33Z,2019-04-24,,ltcusd,2469,4.27878850529926,72.1529740900232,73.3731051625206,8,4.67540105231626,37.4032084185301,0.0625,0.00173739382707863,2.15446913442667e-05,1.7135635263154e-05,6.03707582952761e-06,3.35289388636535,0.26560497657081,-0.0167689484953906,-8.75921449006848,8.34028356964137e-07,13.9969980170326,7.07056621674098,-1,1,1199,Wednesday,1
2019-04-24T01:25:25Z,2019-04-24,,etcusd,1732,1.65483183972399,5.2322,5.72,42,1.64886324478412,69.2522562809328,0.0625,0.00243061115985057,4.51440181262327e-07,4.89066847426318e-05,1.1815741221311e-05,3.05372965400795,0.287598527860558,-0.0891369656677208,-16.3668858173888,2.35849056603774e-06,12.9574875549549,6.78028399958448,-1,1,424,Wednesday,1
2019-04-24T07:41:11Z,2019-04-24,,xrpusd,7632,-1.19064235395601,0.304025909084467,0.311604891156569,5,4.5560742421519,22.7803712107595,0.0625,0.00333058729574425,6.08727120912746e-05,3.79148845211744e-05,2.21856331188519e-05,3.34564666082946,0.266098002125931,-0.0246230857553915,-8.53557936879797,8.56164383561644e-07,13.9708030142299,7.06324943101097,-1,7,1168,Wednesday,1
2019-04-24T07:48:49Z,2019-04-24,,ethusd,21326,5.08613247416827,161.763027996975,163.110275354513,5,6.16341255482607,30.8170627741304,0.0555555555555556,0.00143755830404567,7.88091858784681e-06,7.54373796126823e-06,4.13314788285739e-06,3.49164522083376,0.256504690903612,-0.00829403380849048,-7.49692426353303,5.00250125062531e-07,14.5081573632792,7.21305564088264,-1,7,1999,Wednesday,1
2019-04-24T17:36:11Z,2019-04-24,,bchusd,16307,5.64123042865967,281.809251419033,269.859967071421,5,7.07455883543627,35.3727941771814,0.111111111111111,0.00409044843423795,4.07111867118859e-05,0.000115573210723098,3.34635504274777e-05,3.14401024349485,0.280587198750765,0.0433272446780029,10.7196884578573,1.73913043478261e-06,13.2621244502182,6.8651925924656,1,17,575,Wednesday,1
2019-04-25T22:02:50Z,2019-04-25,,etcusd,21617,1.68185127715535,5.37549830248299,5.43907630209164,4,4.38642687625597,17.5457075050239,0.0555555555555556,0.000617701039046067,8.14883604449966e-08,7.38846193295052e-06,7.63109147290846e-07,3.39994407492375,0.262447916945734,-0.0117579718856606,-9.05963799139002,7.02740688685875e-07,14.1682775257659,7.11837899827008,-1,22,1423,Thursday,1
2019-04-25T22:13:51Z,2019-04-25,,etcusd,21968,1.69007060154455,5.41986334234687,5.32847668354485,4,4.38642687625597,17.5457075050239,0.0555555555555556,0.000617701039046067,8.14883604449966e-08,7.38846193295052e-06,7.63109147290846e-07,3.39994407492375,0.262447916945734,0.0170052046761584,13.1026847005284,7.02740688685875e-07,14.1682775257659,7.11837899827008,1,22,1423,Thursday,1
2019-04-25T22:04:48Z,2019-04-25,,btcusd,53725,8.55666652551725,5201.31379486726,5313.02884049696,5,6.65324169108563,33.2662084554282,0.0625,0.0018917924079086,7.42883456625401e-05,1.48757826176475e-05,7.15777140100764e-06,3.44899258545437,0.259235368264045,-0.0212508292074922,-14.2119155894651,5.86510263929619e-07,14.3490753754757,7.16878042466437,-1,22,1705,Thursday,1
2019-04-25T22:26:53Z,2019-04-25,,btcusd,54224,8.54428844453494,5137.32833705818,5206.63707248644,5,6.65324169108563,33.2662084554282,0.0625,0.0018917924079086,7.42883456625401e-05,1.48757826176475e-05,7.15777140100764e-06,3.44899258545437,0.259235368264045,-0.0134010062730248,-8.96219004475243,5.86510263929619e-07,14.3490753754757,7.16878042466437,-1,22,1705,Thursday,1
2019-04-25T22:05:44Z,2019-04-25,,ethusd,53463,5.02630816161618,152.369449661111,158.036461356039,18,3.50669003477638,63.1204206259749,0.0625,0.00164701860659864,1.42980942789821e-05,1.71805692445047e-05,5.42534111334835e-06,3.27244821687589,0.271181898891517,-0.0365176128641238,-16.4980378328757,1.11234705228031e-06,13.7090377573112,6.99009110787904,-1,22,899,Thursday,1
2019-04-25T22:15:20Z,2019-04-25,,bchusd,14243,5.5997419393036,270.356630002918,262.430790893796,13,3.92679934379384,51.04839146932,0.111111111111111,0.00379923032530861,0.00681345021116897,6.25812966397868e-05,2.92503852881729e-05,2.96816829533973,0.294575374708144,0.0297545457725921,7.45333087203103,3.125e-06,12.6760747122762,6.70222775353692,1,22,320,Thursday,1
