t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,Xihat,sign_level,betastar,Jump_indicator
2019-04-17T00:18:45Z,2019-04-17,okex,btcusd,1126,8.55789356121308,5207.69990975301,5210.3749604725,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000513540325176365,-1.22312671474808,-0.578146051900903,0.1,2.25036732731245,0
2019-04-17T00:19:34Z,2019-04-17,okex,btcusd,1175,8.55842629235739,5210.47495279542,5207.69990975301,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000532731144303966,1.26883452463585,-0.56632579139981,0.1,2.25036732731245,0
2019-04-17T00:20:23Z,2019-04-17,okex,btcusd,1224,8.5589395443614,5213.14992591573,5210.47495279542,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000513252004012088,1.22244000466678,-0.578323638446171,0.1,2.25036732731245,0
2019-04-17T00:21:11Z,2019-04-17,okex,btcusd,1272,8.55953869383066,5216.27431782242,5213.14992591573,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00059914946925943,1.42702663462049,-0.525416547359741,0.1,2.25036732731245,0
2019-04-17T00:22:00Z,2019-04-17,okex,btcusd,1321,8.55985508176828,5217.92494520141,5216.27431782242,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000316387937616014,0.753558230484225,-0.699578730927313,0.1,2.25036732731245,0
2019-04-17T00:22:49Z,2019-04-17,okex,btcusd,1370,8.55972570518885,5217.24991158801,5217.92494520141,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.0001293765794248,-0.308143183308641,-0.814765214411187,0.1,2.25036732731245,0
2019-04-17T00:23:38Z,2019-04-17,okex,btcusd,1419,8.55927518407337,5214.8999597293,5217.24991158801,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.000450521115483937,-1.07303046107871,-0.61696166837796,0.1,2.25036732731245,0
2019-04-17T00:24:27Z,2019-04-17,okex,btcusd,1468,8.55750455116898,5205.67445616787,5214.8999597293,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00177063290438717,-4.2172119718625,0.196138863269392,0.1,2.25036732731245,0
2019-04-17T00:25:16Z,2019-04-17,okex,btcusd,1517,8.55822475435804,5209.4249499091,5205.67445616787,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000720203189064961,1.71534681388377,-0.450855555814061,0.1,2.25036732731245,0
2019-04-17T00:26:05Z,2019-04-17,okex,btcusd,1566,8.55898750967007,5213.39998225803,5209.4249499091,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.00076275531202441,1.81669550221331,-0.424646295286362,0.1,2.25036732731245,0
2019-04-17T00:26:54Z,2019-04-17,okex,btcusd,1615,8.55826307484254,5209.62458142207,5213.39998225803,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00072443482753215,-1.7254255356562,-0.44824914966245,0.1,2.25036732731245,0
2019-04-17T00:27:43Z,2019-04-17,okex,btcusd,1664,8.55725005137773,5204.3497816773,5209.62458142207,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,-0.00101302346480736,-2.41277267183841,-0.270497858924557,0.1,2.25036732731245,0
2019-04-17T00:28:32Z,2019-04-17,okex,btcusd,1713,8.55786477273545,5207.54999015863,5204.3497816773,10,4.89218948994621,48.9218948994621,0.000147888895534379,0.000368179526362679,8.62401434202352e-07,2.16726481379374e-05,3.45876186214687,0.258604832087019,0.000614721357722559,1.46411504198517,-0.515825306000823,0.1,2.25036732731245,0
