t,date,id,s,count,P_hat_tj,exp_P_hat_tj,exp_P_hat_tj_minus1,k,M,kM,C,qhat,sigmahat,Vn,plim_Vn,A_n,B_n,L_t_j,Chi_t_j,sign_level,betastar,criticalvalue,Jump_indicator
2019-04-21T00:00:03Z,2019-04-21,,etcusd,1,1.82664387108156,6.213,,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0,0,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:01:27Z,2019-04-21,,etcusd,27,1.8267114428752,6.21341983773831,6.213,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,6.75717936386988e-05,0.0717435165514766,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:02:32Z,2019-04-21,,etcusd,54,1.82591929168845,6.20849981879681,6.21341983773831,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.000792151186744139,-0.841056729695896,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:03:34Z,2019-04-21,,etcusd,81,1.82591931763184,6.20849997986631,6.20849981879681,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,2.59433852178859e-08,2.75450685345544e-05,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:04:46Z,2019-04-21,,etcusd,108,1.8265521213582,6.21242998511855,6.20849997986631,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.000632803726364539,0.671871533542803,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:06:16Z,2019-04-21,,etcusd,134,1.82768948858472,6.21949981911729,6.21242998511855,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.00113736722652114,1.20758559225656,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:07:59Z,2019-04-21,,etcusd,161,1.82640215024843,6.21149836995873,6.21949981911729,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.00128733833629147,-1.36681556406375,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:09:37Z,2019-04-21,,etcusd,188,1.82628165430849,6.21074995471561,6.21149836995873,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.000120495939939902,-0.127935074621331,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:12:30Z,2019-04-21,,etcusd,215,1.82567767445355,6.20699991944579,6.21074995471561,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.000603979854937764,-0.641268144385464,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:14:09Z,2019-04-21,,etcusd,242,1.82616089594539,6.21,6.20699991944579,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.000483221491834218,0.513054445214295,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:15:09Z,2019-04-21,,etcusd,268,1.82567763551966,6.20699967778314,6.21,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.00048326042572433,-0.513095782790808,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:16:04Z,2019-04-21,,etcusd,295,1.82551655304404,6.20599991943281,6.20699967778314,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.000161082475619967,-0.171027327135732,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:16:41Z,2019-04-21,,etcusd,322,1.82462993070939,6.20049997984034,6.20599991943281,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.000886622334649756,-0.941360303101738,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:17:40Z,2019-04-21,,etcusd,349,1.82487161269587,6.20199871009338,6.20049997984034,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.000241681986479003,0.25660286139304,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:18:41Z,2019-04-21,,etcusd,376,1.82551656602619,6.206,6.20199871009338,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.000644953330316112,0.684771225341043,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:19:48Z,2019-04-21,,etcusd,402,1.82504914513235,6.20309986377779,6.206,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.000467420893836223,-0.496278355622037,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:21:35Z,2019-04-21,,etcusd,429,1.82519419335222,6.20399967762733,6.20309986377779,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.000145048219870603,0.154003154314511,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:22:51Z,2019-04-21,,etcusd,456,1.82616042918982,6.2099971014486,6.20399967762733,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.000966235837596585,1.02588895564761,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:23:52Z,2019-04-21,,etcusd,483,1.8262710264225,6.21068394792393,6.2099971014486,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,0.000110597232680254,0.117425244559427,0.01,4.60014922677658,4.53361246701707,0
2019-04-21T00:24:36Z,2019-04-21,,etcusd,509,1.8254359663729,6.20549981870921,6.21068394792393,9,2.97624338577308,26.7861904719577,0.0555555555555556,0.00114895233040938,1.64360400120649e-06,9.19620650957004e-06,2.64018292066479e-06,3.29269167054958,0.269756639468199,-0.00083506004959566,-0.886614684375229,0.01,4.60014922677658,4.53361246701707,0
