id,t,s,p,q,date
bitstamp,2020-08-14T02:36:42.706Z,bchusd,293.51,2.55256907,2020-08-14
bitstamp,2020-08-14T02:37:02.454Z,bchusd,293.51,4,2020-08-14
bitstamp,2020-08-14T02:37:02.454Z,bchusd,293.5,2.7439161,2020-08-14
bitstamp,2020-08-14T02:40:47.472Z,bchusd,293.46,12.43887664,2020-08-14
bitstamp,2020-08-14T02:46:02.241Z,bchusd,293.56,2.17132686,2020-08-14
bitstamp,2020-08-14T02:46:55.634Z,bchusd,293.56,0.326,2020-08-14
bitstamp,2020-08-14T02:56:33.358Z,bchusd,292.82,0.159,2020-08-14
bitstamp,2020-08-14T02:56:33.768Z,bchusd,292.82,0.00088,2020-08-14
bitstamp,2020-08-14T03:02:07.600Z,bchusd,292.4,5.12365077,2020-08-14
bitstamp,2020-08-14T03:02:09.876Z,bchusd,291.96,0.4,2020-08-14
bitstamp,2020-08-14T03:02:09.910Z,bchusd,291.94,8.571,2020-08-14
bitstamp,2020-08-14T03:02:09.986Z,bchusd,291.94,15.94,2020-08-14
bitstamp,2020-08-14T03:02:09.996Z,bchusd,291.94,8.572,2020-08-14
bitstamp,2020-08-14T03:02:10.124Z,bchusd,291.94,8.575,2020-08-14
bitstamp,2020-08-14T03:02:10.126Z,bchusd,291.94,34.97,2020-08-14
bitstamp,2020-08-14T03:02:10.228Z,bchusd,291.94,8.577,2020-08-14
bitstamp,2020-08-14T03:02:10.237Z,bchusd,291.94,2.9729643,2020-08-14
bitstamp,2020-08-14T03:02:10.261Z,bchusd,291.94,4.77892296,2020-08-14
bitstamp,2020-08-14T03:02:10.780Z,bchusd,291.77,5.1301344,2020-08-14
bitstamp,2020-08-14T03:02:12.686Z,bchusd,291.83,0.4,2020-08-14
bitstamp,2020-08-14T03:02:24.666Z,bchusd,292,2.94,2020-08-14
bitstamp,2020-08-14T03:02:27.488Z,bchusd,291.95,0.4,2020-08-14
bitstamp,2020-08-14T03:02:45.784Z,bchusd,291.52,0.4,2020-08-14
bitstamp,2020-08-14T03:04:28.695Z,bchusd,291.4,11.75,2020-08-14
bitstamp,2020-08-14T03:04:32.088Z,bchusd,291.63,7.73,2020-08-14
bitstamp,2020-08-14T03:04:32.433Z,bchusd,291.63,0.00694154,2020-08-14
bitstamp,2020-08-14T03:06:00.537Z,bchusd,290.93,5.153,2020-08-14
bitstamp,2020-08-14T03:06:00.537Z,bchusd,290.93,11.45022284,2020-08-14
bitstamp,2020-08-14T03:06:00.650Z,bchusd,290.93,5.74973026,2020-08-14
bitstamp,2020-08-14T03:06:19.714Z,bchusd,291.44,0.13122734,2020-08-14
bitstamp,2020-08-14T03:07:26.707Z,bchusd,290.92,0.18504,2020-08-14
bitstamp,2020-08-14T03:07:27.721Z,bchusd,290.72,0.4,2020-08-14
bitstamp,2020-08-14T03:07:32.545Z,bchusd,290.22,0.124,2020-08-14
bitstamp,2020-08-14T03:08:20.712Z,bchusd,290.57,0.209,2020-08-14
bitstamp,2020-08-14T03:08:20.998Z,bchusd,290.57,0.191,2020-08-14
bitstamp,2020-08-14T03:08:56.357Z,bchusd,290.22,0.00057058,2020-08-14
bitstamp,2020-08-14T03:09:30.783Z,bchusd,290.71,0.103,2020-08-14
bitstamp,2020-08-14T03:09:34.481Z,bchusd,290.71,0.00019562,2020-08-14
bitstamp,2020-08-14T03:17:57.670Z,bchusd,292.6,2.004,2020-08-14
bitstamp,2020-08-14T03:18:52.344Z,bchusd,292.51,0.1025606,2020-08-14
bitstamp,2020-08-14T03:20:34.813Z,bchusd,292.55,5.74,2020-08-14
bitstamp,2020-08-14T03:20:34.848Z,bchusd,292.55,0.00973025,2020-08-14
bitstamp,2020-08-14T03:26:24.505Z,bchusd,292.31,0.259,2020-08-14
bitstamp,2020-08-14T03:26:24.519Z,bchusd,292.31,0.00069,2020-08-14
bitstamp,2020-08-14T03:29:43.523Z,bchusd,291.94,2.9988,2020-08-14
bitstamp,2020-08-14T03:32:59.566Z,bchusd,292.47,2.004,2020-08-14
bitstamp,2020-08-14T03:33:29.863Z,bchusd,292.54,18,2020-08-14
bitstamp,2020-08-14T03:37:32.653Z,bchusd,292.54,1.938,2020-08-14
bitstamp,2020-08-14T03:37:46.136Z,bchusd,292.54,2.94,2020-08-14
bitstamp,2020-08-14T03:37:46.171Z,bchusd,292.54,4.41,2020-08-14
bitstamp,2020-08-14T03:37:49.119Z,bchusd,292.54,4.64,2020-08-14
bitstamp,2020-08-14T03:37:51.199Z,bchusd,292.54,7,2020-08-14
bitstamp,2020-08-14T03:37:53.207Z,bchusd,292.54,6.66,2020-08-14
bitstamp,2020-08-14T03:37:59.722Z,bchusd,292.54,0.002,2020-08-14
bitstamp,2020-08-14T03:42:37.597Z,bchusd,292.88,3.60308355,2020-08-14
bitstamp,2020-08-14T03:53:02.081Z,bchusd,293.15,2.004,2020-08-14
bitstamp,2020-08-14T03:54:52.398Z,bchusd,293.2,3.91238462,2020-08-14
bitstamp,2020-08-14T04:03:03.237Z,bchusd,293.53,2.004,2020-08-14
bitstamp,2020-08-14T04:05:40.100Z,bchusd,293.6,11.66948515,2020-08-14
bitstamp,2020-08-14T04:05:40.100Z,bchusd,293.62,0.10051485,2020-08-14
bitstamp,2020-08-14T04:06:12.686Z,bchusd,293.62,0.00248515,2020-08-14
bitstamp,2020-08-14T04:06:12.686Z,bchusd,293.62,0.00019562,2020-08-14
bitstamp,2020-08-14T04:12:04.776Z,bchusd,293.68,0.17025,2020-08-14
bitstamp,2020-08-14T04:27:17.537Z,bchusd,294.28,2.3,2020-08-14
bitstamp,2020-08-14T04:28:06.412Z,bchusd,294.48,2.004,2020-08-14
bitstamp,2020-08-14T04:32:12.420Z,bchusd,293.58,2.31306488,2020-08-14
bitstamp,2020-08-14T04:43:17.171Z,bchusd,292.57,0.60041904,2020-08-14
bitstamp,2020-08-14T04:43:34.987Z,bchusd,292.45,2.3,2020-08-14
bitstamp,2020-08-14T04:45:37.397Z,bchusd,292.37,2.16244982,2020-08-14
bitstamp,2020-08-14T04:52:37.207Z,bchusd,293.17,9.57,2020-08-14
bitstamp,2020-08-14T04:52:37.328Z,bchusd,293.17,2.18702633,2020-08-14
bitstamp,2020-08-14T04:56:14.614Z,bchusd,293.46,2.187,2020-08-14
bitstamp,2020-08-14T04:56:14.688Z,bchusd,293.46,8.526,2020-08-14
bitstamp,2020-08-14T04:56:14.774Z,bchusd,293.46,7.287,2020-08-14
bitstamp,2020-08-14T04:56:15.258Z,bchusd,293.35,10.5114046,2020-08-14
bitstamp,2020-08-14T04:56:42.296Z,bchusd,293.21,2.21544021,2020-08-14
bitstamp,2020-08-14T05:08:11.847Z,bchusd,292.56,4.4728,2020-08-14
bitstamp,2020-08-14T05:08:11.871Z,bchusd,292.56,0.6677,2020-08-14
bitstamp,2020-08-14T05:08:11.983Z,bchusd,292.56,0.6230539,2020-08-14
bitstamp,2020-08-14T05:11:33.500Z,bchusd,292.3,8.561,2020-08-14
bitstamp,2020-08-14T05:11:33.605Z,bchusd,292.3,2.24843907,2020-08-14
