s,date,open,high,low,close,log_ret,diff_date
bchusd,2019-08-09,332.94,336.04,308,314.52,-0.0562235725579161,1
bchusd,2019-08-10,314.64,325.95,300.11,315.85,0.00421975022139425,1
bchusd,2019-08-11,315.05,345.3,312.71,338.64,0.0696701788679587,1
bchusd,2019-08-12,339.02,340.63,325.91,329.16,-0.028393641475156,1
bchusd,2019-08-13,329.75,352.5,327.24,348.11,0.0559745670444483,1
bchusd,2019-08-14,346.73,359.99,303.97,311.14,-0.112275550122985,1
bchusd,2019-08-15,310.99,323.93,266.93,314.51,0.0107729004784065,1
bchusd,2019-08-16,314.43,316.59,297.65,309.4,-0.0163809339984162,1
bchusd,2019-08-17,309.18,312.89,300,306.63,-0.00899312912987114,1
bchusd,2019-08-18,306.62,325.38,302.23,317,0.033259964868186,1
bchusd,2019-08-19,316.97,330.32,312.56,325.08,0.0251695320077234,1
bchusd,2019-08-20,325.58,326.7,310.81,315.16,-0.0309908595075166,1
bchusd,2019-08-21,315.53,317.1,288.26,303.54,-0.0375670488455877,1
bchusd,2019-08-22,304.94,316.48,293.61,312.98,0.0306258932031261,1
bchusd,2019-08-23,312.22,319.3,305.24,316.21,0.0102672590937155,1
bchusd,2019-08-24,316.19,316.84,298.75,306.13,-0.0323967014925715,1
bchusd,2019-08-25,306.13,313.08,300.6,305.28,-0.00278046007624836,1
bchusd,2019-08-26,305.07,315.64,304.8,310.88,0.0181775973692083,1
bchusd,2019-08-27,310.62,313.4,302.85,307.99,-0.00933967071510472,1
bchusd,2019-08-28,308,309.9,282.34,291.69,-0.0543757204243498,1
bchusd,2019-08-29,292.05,292.05,274.94,279.78,-0.041688014441391,1
bchusd,2019-08-30,279.68,284.72,270.17,278.59,-0.00426241310126205,1
bchusd,2019-08-31,278.59,287.99,270.41,280.15,0.00558400706427114,1
bchusd,2019-09-01,280.15,284.81,273.34,281.9,0.00622722410877344,1
bchusd,2019-09-02,281.99,374.77,280.04,293.95,0.0418572867281972,1
bchusd,2019-09-03,293.68,306.89,292.53,300.82,0.0231023943788033,1
bchusd,2019-09-04,301.01,302.33,292,295.05,-0.0193672457238895,1
bchusd,2019-09-05,294.65,296.8,285.66,292.76,-0.00779167277015143,1
bchusd,2019-09-06,292.67,302.77,278.6,287.1,-0.019522573606008,1
bchusd,2019-09-07,286.76,307.03,284.42,300.06,0.044151867531849,1
bchusd,2019-09-08,300.06,312.85,293.57,306.59,0.0215288954608997,1
bchusd,2019-09-09,306.64,314.07,297.42,304.14,-0.00802322840745397,1
bchusd,2019-09-10,304.03,311.9,295.02,303.61,-0.00174413865686822,1
bchusd,2019-09-11,303.51,307.99,291.49,299.15,-0.014798863219404,1
bchusd,2019-09-12,299.15,302.47,294.64,301,0.00616514491283498,1
bchusd,2019-09-13,300.17,301.1,294.66,298.83,-0.00723541492369182,1
bchusd,2019-09-14,298.73,307.85,296.56,304.97,0.0203385612887636,1
bchusd,2019-09-15,304.94,308.38,301.07,303.3,-0.00549099641941207,1
bchusd,2019-09-16,303.23,310.5,300.03,307.82,0.0147927818572725,1
bchusd,2019-09-17,308.92,328.8,305.15,318.18,0.0331020638252858,1
